session_id,department,month,review_type,triangle_count,traditional_load_min,lightweight_load_sec,time_saved_min,hourly_cost_krw,cost_saved_krw
1,생산관리(가공/건조),2026-06,간섭검사,20620,5.5,1.0,5.5,55000,5042
2,생산관리(가공/건조),2026-06,협력사공유,37212,7.5,1.0,7.5,55000,6875
3,생산관리(가공/건조),2026-06,설계검토,27789,8.5,1.0,8.5,55000,7792
4,생산관리(가공/건조),2026-06,QA검수,73675,32.9,1.0,32.9,55000,30158
5,생산관리(가공/건조),2026-06,QA검수,91017,31.4,1.0,31.3,55000,28692
6,생산관리(가공/건조),2026-07,공정검토,118244,38.5,1.3,38.5,55000,35292
7,생산관리(가공/건조),2026-07,협력사공유,49053,16.6,1.51,16.6,55000,15217
8,생산관리(가공/건조),2026-07,설계검토,14794,7.0,1.0,7.0,55000,6417
9,생산관리(가공/건조),2026-07,간섭검사,57540,18.4,1.0,18.3,55000,16775
10,생산관리(가공/건조),2026-07,QA검수,9320,5.0,1.0,5.0,55000,4583
11,생산관리(가공/건조),2026-07,설계검토,20799,5.0,1.0,5.0,55000,4583
12,생산관리(가공/건조),2026-07,공정검토,22382,9.0,1.09,9.0,55000,8250
13,생산관리(가공/건조),2026-07,공정검토,32411,9.5,1.0,9.5,55000,8708
14,생산관리(가공/건조),2026-07,공정검토,16490,5.0,1.0,5.0,55000,4583
15,생산관리(가공/건조),2026-07,공정검토,95887,31.0,1.0,31.0,55000,28417
16,생산관리(가공/건조),2026-07,설계검토,55207,19.9,1.0,19.9,55000,18242
17,생산관리(가공/건조),2026-07,간섭검사,87239,32.0,1.0,32.0,55000,29333
18,생산관리(가공/건조),2026-07,협력사공유,10947,7.4,1.0,7.4,55000,6783
19,생산관리(가공/건조),2026-08,설계검토,57466,16.5,1.0,16.5,55000,15125
20,생산관리(가공/건조),2026-08,협력사공유,22363,5.9,1.0,5.9,55000,5408
21,생산관리(가공/건조),2026-08,공정검토,10695,5.0,1.0,5.0,55000,4583
22,생산관리(가공/건조),2026-08,QA검수,39828,10.7,1.0,10.7,55000,9808
23,생산관리(가공/건조),2026-08,공정검토,22066,6.3,1.0,6.3,55000,5775
24,생산관리(가공/건조),2026-08,설계검토,98150,34.7,1.0,34.6,55000,31717
25,생산관리(가공/건조),2026-08,공정검토,14479,5.0,1.0,5.0,55000,4583
26,생산관리(가공/건조),2026-08,협력사공유,43934,20.4,1.0,20.4,55000,18700
27,생산관리(가공/건조),2026-08,공정검토,14974,5.0,1.0,5.0,55000,4583
28,생산관리(가공/건조),2026-08,협력사공유,71905,27.4,1.0,27.3,55000,25025
29,생산관리(가공/건조),2026-08,공정검토,19450,5.2,1.0,5.2,55000,4767
30,생산관리(가공/건조),2026-08,설계검토,122273,40.9,1.0,40.9,55000,37492
31,생산관리(가공/건조),2026-08,공정검토,65178,21.6,1.0,21.6,55000,19800
32,생산관리(가공/건조),2026-08,협력사공유,46921,16.4,1.0,16.4,55000,15033
33,생산관리(가공/건조),2026-08,간섭검사,54965,19.3,1.0,19.3,55000,17692
34,생산관리(가공/건조),2026-08,간섭검사,94222,25.3,1.0,25.3,55000,23192
35,생산관리(가공/건조),2026-08,협력사공유,11681,5.0,1.0,5.0,55000,4583
36,생산관리(가공/건조),2026-08,간섭검사,25438,7.8,1.0,7.8,55000,7150
37,생산관리(가공/건조),2026-08,공정검토,10198,5.7,1.0,5.6,55000,5133
38,생산관리(의장),2026-04,QA검수,16299,7.1,1.0,7.0,52000,6067
39,생산관리(의장),2026-04,설계검토,5866,5.0,1.0,5.0,52000,4333
40,생산관리(의장),2026-04,간섭검사,21674,11.2,1.0,11.2,52000,9707
41,생산관리(의장),2026-04,간섭검사,11067,5.0,1.0,5.0,52000,4333
42,생산관리(의장),2026-04,협력사공유,50079,18.9,1.0,18.9,52000,16380
43,생산관리(의장),2026-04,간섭검사,21388,6.1,1.0,6.1,52000,5287
44,생산관리(의장),2026-04,공정검토,10692,5.0,1.0,5.0,52000,4333
45,생산관리(의장),2026-04,설계검토,46506,18.0,1.54,18.0,52000,15600
46,생산관리(의장),2026-05,설계검토,16608,6.9,1.0,6.9,52000,5980
47,생산관리(의장),2026-05,QA검수,101577,32.7,1.0,32.7,52000,28340
